layer,mode,speed_mps,pitch,volume
power/fixed,power,0,1.00000,0.000000
power/fixed,power,0.2,1.00000,0.010062
power/fixed,power,1.5,1.00000,0.089682
power/fixed,power,7,1.00000,0.100625
power/fixed,power,10.5,1.00000,0.067252
power/fixed,power,10.75,1.00000,0.062133
power/fixed,power,11,1.00000,0.047554
power/fixed,power,11.25,1.00000,0.025736
power/fixed,power,11.5,1.00000,0.000000
power/sync_a,power,10.5,0.78750,0.000000
power/sync_a,power,10.75,0.80625,0.026181
power/sync_a,power,11,0.82500,0.048105
power/sync_a,power,11.25,0.84375,0.062487
power/sync_a,power,11.5,0.86250,0.067229
power/sync_a,power,13,0.97500,0.040777
power/sync_a,power,15.5,1.16250,0.042578
power/sync_a,power,19,1.42500,0.017368
power/sync_a,power,23.5,1.76250,0.016068
power/sync_a,power,23.75,1.78125,0.014799
power/sync_a,power,24,1.80000,0.011292
power/sync_a,power,24.25,1.81875,0.006094
power/sync_a,power,24.5,1.83750,0.000000
power/sync_c,power,23.5,0.87037,0.000000
power/sync_c,power,23.75,0.87963,0.010902
power/sync_c,power,24,0.88889,0.021023
power/sync_c,power,24.25,0.89815,0.028665
power/sync_c,power,24.5,0.90741,0.032377
power/sync_c,power,26,0.96296,0.041794
power/sync_c,power,27.5,1.01852,0.046977
power/sync_c,power,27.75,1.02778,0.044255
power/sync_c,power,28,1.03704,0.034538
power/sync_c,power,28.25,1.04630,0.019061
power/sync_c,power,28.5,1.05556,0.000000
power/cruise_b,power,27.5,0.68750,0.000000
power/cruise_b,power,27.75,0.69375,0.027272
power/cruise_b,power,28,0.70000,0.050293
power/cruise_b,power,28.25,0.70625,0.065574
power/cruise_b,power,28.5,0.71250,0.070835
power/cruise_b,power,40,1.00000,0.123513
brake/fixed,brake,0,1.00000,0.000000
brake/fixed,brake,1,1.00000,0.000000
brake/fixed,brake,1.5,1.00000,0.024122
brake/fixed,brake,3,1.00000,0.100555
brake/fixed,brake,9,1.00000,0.100555
brake/fixed,brake,10.5,1.00000,0.080799
brake/fixed,brake,10.75,1.00000,0.074648
brake/fixed,brake,11,1.00000,0.057133
brake/fixed,brake,11.25,1.00000,0.030920
brake/fixed,brake,11.5,1.00000,0.000000
brake/sync_a,brake,10.5,0.78750,0.000000
brake/sync_a,brake,10.75,0.80625,0.027179
brake/sync_a,brake,11,0.82500,0.049940
brake/sync_a,brake,11.25,0.84375,0.064872
brake/sync_a,brake,11.5,0.86250,0.069797
brake/sync_a,brake,13,0.97500,0.054536
brake/sync_a,brake,15,1.12500,0.051477
brake/sync_a,brake,23.5,1.76250,0.029249
brake/sync_a,brake,23.75,1.78125,0.026638
brake/sync_a,brake,24,1.80000,0.020100
brake/sync_a,brake,24.25,1.81875,0.010726
brake/sync_a,brake,24.5,1.83750,0.000000
brake/sync_c,brake,23.5,0.87037,0.000000
brake/sync_c,brake,23.75,0.87963,0.018729
brake/sync_c,brake,24,0.88889,0.034889
brake/sync_c,brake,24.25,0.89815,0.045957
brake/sync_c,brake,24.5,0.90741,0.050145
brake/sync_c,brake,27.5,1.01852,0.055193
brake/sync_c,brake,27.75,1.02778,0.051400
brake/sync_c,brake,28,1.03704,0.039655
brake/sync_c,brake,28.25,1.04630,0.021634
brake/sync_c,brake,28.5,1.05556,0.000000
brake/cruise_b,brake,27.5,0.68750,0.000000
brake/cruise_b,brake,27.75,0.69375,0.027207
brake/cruise_b,brake,28,0.70000,0.050245
brake/cruise_b,brake,28.25,0.70625,0.065601
brake/cruise_b,brake,28.5,0.71250,0.070963
brake/cruise_b,brake,40,1.00000,0.080198
power/sb_k1m1u,power,0,0.94943,0.000000
power/sb_k1m1u,power,0.2,0.95111,0.001096
power/sb_k1m1u,power,1.5,0.96207,0.009737
power/sb_k1m1u,power,7,1.00843,0.010757
power/sb_k1m1u,power,10.5,1.03793,0.007116
power/sb_k1m1u,power,10.75,1.04004,0.006570
power/sb_k1m1u,power,11,1.04215,0.005025
power/sb_k1m1u,power,11.25,1.04425,0.002717
power/sb_k1m1u,power,11.5,1.04636,0.000000
power/sb_k1m1l,power,0,1.05627,0.000000
power/sb_k1m1l,power,0.2,1.05439,0.001203
power/sb_k1m1l,power,1.5,1.04220,0.010763
power/sb_k1m1l,power,7,0.99062,0.012247
power/sb_k1m1l,power,10.5,0.95780,0.008254
power/sb_k1m1l,power,10.75,0.95545,0.007630
power/sb_k1m1l,power,11,0.95311,0.005843
power/sb_k1m1l,power,11.25,0.95077,0.003164
power/sb_k1m1l,power,11.5,0.94842,0.000000
power/sb_k2m1u,power,0,0.97406,0.000000
power/sb_k2m1u,power,0.2,0.97492,0.000694
power/sb_k2m1u,power,1.5,0.98054,0.006176
power/sb_k2m1u,power,7,1.00432,0.006884
power/sb_k2m1u,power,10.5,1.01946,0.004582
power/sb_k2m1u,power,10.75,1.02054,0.004233
power/sb_k2m1u,power,11,1.02162,0.003239
power/sb_k2m1u,power,11.25,1.02270,0.001752
power/sb_k2m1u,power,11.5,1.02378,0.000000
power/sb_k2m1l,power,0,1.02736,0.000000
power/sb_k2m1l,power,0.2,1.02645,0.000464
power/sb_k2m1l,power,1.5,1.02052,0.004144
power/sb_k2m1l,power,7,0.99544,0.004685
power/sb_k2m1l,power,10.5,0.97947,0.003147
power/sb_k2m1l,power,10.75,0.97833,0.002909
power/sb_k2m1l,power,11,0.97719,0.002227
power/sb_k2m1l,power,11.25,0.97605,0.001206
power/sb_k2m1l,power,11.5,0.97491,0.000000
power/sb_k2m2u,power,0,0.94942,0.000000
power/sb_k2m2u,power,0.2,0.95111,0.000320
power/sb_k2m2u,power,1.5,0.96207,0.002883
power/sb_k2m2u,power,7,1.00843,0.003195
power/sb_k2m2u,power,10.5,1.03793,0.002121
power/sb_k2m2u,power,10.75,1.04004,0.001958
power/sb_k2m2u,power,11,1.04215,0.001498
power/sb_k2m2u,power,11.25,1.04425,0.000810
power/sb_k2m2u,power,11.5,1.04636,0.000000
power/sb_k2m2l,power,0,1.05627,0.000000
power/sb_k2m2l,power,0.2,1.05439,0.000239
power/sb_k2m2l,power,1.5,1.04220,0.002105
power/sb_k2m2l,power,7,0.99062,0.002400
power/sb_k2m2l,power,10.5,0.95780,0.001623
power/sb_k2m2l,power,10.75,0.95545,0.001501
power/sb_k2m2l,power,11,0.95311,0.001150
power/sb_k2m2l,power,11.25,0.95077,0.000623
power/sb_k2m2l,power,11.5,0.94842,0.000000
power/sb_k2m3u,power,0,0.92601,0.000000
power/sb_k2m3u,power,0.2,0.92848,0.000311
power/sb_k2m3u,power,1.5,0.94451,0.002813
power/sb_k2m3u,power,7,1.01233,0.003101
power/sb_k2m3u,power,10.5,1.05549,0.002054
power/sb_k2m3u,power,10.75,1.05858,0.001896
