speed_mps,power_lufs,power_steady_lufs,brake_lufs,brake_steady_lufs,mechanical_lufs,cruising_lufs,heard_power_sweep_lufs,heard_power_steady_lufs,heard_brake_sweep_lufs,heard_brake_steady_lufs
0.5,-40.34,,,,-40.48,,-37.40,-40.48,-40.48,-40.48
1.0,-33.99,,,,-33.25,,-30.60,-33.25,-33.25,-33.25
1.5,-30.36,,-42.01,,-29.34,,-26.84,-29.34,-29.12,-29.34
2.0,-30.26,,-35.73,,-27.65,,-25.78,-27.65,-27.02,-27.65
2.5,-30.17,,-32.14,,-26.23,,-24.78,-26.23,-25.24,-26.23
3.0,-30.08,,-29.61,,-25.80,,-24.44,-25.80,-24.30,-25.80
3.5,-29.99,,-29.61,,-25.40,,-24.10,-25.40,-24.01,-25.40
4.0,-29.89,,-29.60,,-25.02,,-23.80,-25.02,-23.74,-25.02
4.5,-29.80,,-29.61,,-24.65,,-23.47,-24.65,-23.43,-24.65
5.0,-29.71,-30.65,-29.61,-30.25,-24.30,,-23.22,-23.41,-23.17,-23.31
5.5,-29.62,-30.39,-29.61,-30.25,-24.52,,-23.34,-23.51,-23.34,-23.48
6.0,-29.54,-30.13,-29.61,-30.25,-24.73,,-23.47,-23.61,-23.49,-23.63
6.5,-29.45,-29.89,-29.61,-30.25,-24.92,,-23.61,-23.71,-23.67,-23.83
7.0,-29.36,-29.36,-29.61,-30.25,-25.11,,-23.74,-23.74,-23.77,-23.93
7.5,-29.79,-29.79,-29.61,-30.25,-25.28,,-23.96,-23.96,-23.94,-24.10
8.0,-30.23,-30.23,-29.61,-30.25,-25.44,,-24.19,-24.19,-24.02,-24.18
8.5,-30.69,-30.69,-29.61,-30.25,-25.15,,-24.08,-24.08,-23.85,-24.00
9.0,-31.19,-31.19,-29.61,-29.61,-24.85,,-23.91,-23.91,-23.57,-23.57
9.5,-31.71,-31.71,-30.20,-30.20,-24.56,,-23.79,-23.79,-23.53,-23.53
10.0,-32.27,-32.27,-30.83,-30.83,-24.28,,-23.64,-23.64,-23.42,-23.42
10.5,-32.86,-32.86,-31.50,-31.50,-24.02,,-23.48,-23.48,-23.30,-23.30
11.0,-32.76,-32.76,-31.81,-31.81,-23.76,-44.66,-23.28,-23.28,-23.15,-23.15
11.5,-32.65,-32.65,-32.15,-32.15,-23.50,-40.65,-23.06,-23.06,-22.96,-22.96
12.0,-33.76,-33.76,-32.70,-32.70,-23.26,-40.21,-22.95,-22.95,-22.81,-22.81
12.5,-35.07,-35.07,-33.29,-33.29,-23.03,-39.78,-22.83,-22.83,-22.68,-22.68
13.0,-36.65,-36.65,-33.95,-33.95,-22.79,-39.36,-22.67,-22.67,-22.50,-22.50
13.5,-36.45,-36.45,-33.95,-33.95,-22.57,-38.95,-22.43,-22.43,-22.28,-22.28
14.0,-36.25,-36.25,-33.95,-33.95,-22.34,-38.54,-22.21,-22.21,-22.08,-22.08
14.5,-36.05,-36.05,-33.95,-33.95,-22.26,-38.14,-22.12,-22.12,-21.99,-21.99
15.0,-35.85,-35.85,-33.95,-33.95,-22.18,-37.74,-22.04,-22.04,-21.93,-21.93
15.5,-35.65,-35.65,-34.05,-34.05,-22.10,-37.36,-21.96,-21.96,-21.86,-21.86
16.0,-36.29,-36.29,-34.15,-34.15,-22.04,-36.98,-21.93,-21.93,-21.81,-21.81
16.5,-37.01,-37.01,-34.27,-34.27,-21.96,-36.62,-21.86,-21.86,-21.74,-21.74
17.0,-37.83,-37.83,-34.39,-34.39,-21.87,-36.26,-21.80,-21.80,-21.67,-21.67
17.5,-38.76,-38.76,-34.52,-34.52,-21.80,-35.92,-21.75,-21.75,-21.59,-21.59
18.0,-39.84,-39.84,-34.67,-34.67,-21.71,-35.58,-21.68,-21.68,-21.54,-21.54
18.5,-41.11,-41.11,-34.83,-34.83,-21.64,-35.26,-21.62,-21.62,-21.45,-21.45
19.0,-42.65,-42.65,-35.00,-35.00,-21.58,-34.95,-21.56,-21.56,-21.39,-21.39
19.5,-42.63,-42.63,-35.19,-35.19,-21.65,-34.64,-21.64,-21.64,-21.49,-21.49
20.0,-42.61,-42.61,-35.39,-35.39,-21.75,-34.35,-21.73,-21.73,-21.57,-21.57
20.5,-42.60,-42.60,-35.60,-35.60,-21.84,-34.56,-21.83,-21.83,-21.68,-21.68
21.0,-42.59,-42.59,-35.84,-35.84,-21.93,-34.78,-21.91,-21.91,-21.77,-21.77
21.5,-42.59,-42.59,-36.08,-36.08,-22.01,-35.01,-22.00,-22.00,-21.87,-21.87
22.0,-42.60,-42.60,-36.35,-36.35,-22.09,-35.27,-22.08,-22.08,-21.95,-21.95
22.5,-42.61,-42.61,-36.63,-36.63,-22.19,-35.54,-22.17,-22.17,-22.06,-22.06
23.0,-42.63,-42.63,-36.94,-36.94,-22.28,-35.83,-22.26,-22.26,-22.15,-22.15
23.5,-42.65,-42.65,-37.26,-37.26,-22.35,-36.14,-22.33,-22.33,-22.23,-22.23
24.0,-42.23,-42.23,-37.45,-37.45,-22.45,-36.52,-22.40,-22.40,-22.30,-22.30
24.5,-41.05,-41.05,-37.25,-37.25,-22.53,-36.65,-22.42,-22.42,-22.32,-22.32
25.0,-40.18,-40.18,-37.04,-37.04,-22.64,-36.65,-22.53,-22.53,-22.44,-22.44
25.5,-39.39,-39.39,-36.84,-36.84,-22.73,-36.65,-22.59,-22.59,-22.51,-22.51
26.0,-38.65,-38.65,-36.64,-36.64,-22.81,-36.65,-22.66,-22.66,-22.59,-22.59
26.5,-38.24,-38.24,-36.44,-36.44,-22.90,-36.65,-22.74,-22.74,-22.67,-22.67
27.0,-37.84,-37.84,-36.24,-36.24,-22.98,-36.65,-22.77,-22.77,-22.70,-22.70
27.5,-37.45,-37.45,-36.05,-36.05,-23.03,-36.65,-22.81,-22.81,-22.75,-22.75
28.0,-36.87,-36.87,-35.21,-35.21,-23.05,-36.68,-22.79,-22.79,-22.71,-22.71
28.5,-36.65,-36.65,-34.65,-34.65,-23.08,-36.65,-22.84,-22.84,-22.74,-22.74
29.0,-36.34,-36.34,-34.59,-34.59,-23.11,-36.34,-22.85,-22.85,-22.74,-22.74
29.5,-36.03,-36.03,-34.53,-34.53,-23.13,-36.03,-22.84,-22.84,-22.76,-22.76
30.0,-35.73,-35.73,-34.47,-34.47,-23.17,-35.73,-22.86,-22.86,-22.78,-22.78
30.5,-35.45,-35.45,-34.41,-34.41,-23.19,-35.45,-22.86,-22.86,-22.80,-22.80
31.0,-35.16,-35.16,-34.34,-34.34,-23.22,-35.16,-22.87,-22.87,-22.81,-22.81
31.5,-34.89,-34.89,-34.28,-34.28,-23.25,-34.89,-22.88,-22.88,-22.87,-22.87
32.0,-34.62,-34.62,-34.22,-34.22,-23.26,-34.62,-22.87,-22.87,-22.86,-22.86
32.5,-34.35,-34.35,-34.16,-34.16,-23.28,-34.35,-22.86,-22.86,-22.87,-22.87
33.0,-34.09,-34.09,-34.10,-34.10,-23.33,-34.09,-22.88,-22.88,-22.91,-22.91
33.5,-33.84,-33.84,-34.04,-34.04,-23.35,-33.84,-22.86,-22.86,-22.93,-22.93
34.0,-33.59,-33.59,-33.98,-33.98,-23.37,-33.59,-22.87,-22.87,-22.93,-22.93
34.5,-33.35,-33.35,-33.92,-33.92,-23.38,-33.35,-22.86,-22.86,-22.95,-22.95
35.0,-33.11,-33.11,-33.86,-33.86,-23.42,-33.11,-22.85,-22.85,-22.98,-22.98
35.5,-32.87,-32.87,-33.80,-33.80,-23.45,-32.87,-22.82,-22.82,-22.98,-22.98
36.0,-32.64,-32.64,-33.74,-33.74,-23.45,-32.64,-22.78,-22.78,-22.94,-22.94
