speed_mps,power_lufs,power_steady_lufs,brake_lufs,brake_steady_lufs,mechanical_lufs,cruising_lufs,heard_power_sweep_lufs,heard_power_steady_lufs,heard_brake_sweep_lufs,heard_brake_steady_lufs
0.5,-53.19,,-37.19,,-42.98,,-42.58,-42.98,-36.17,-42.98
1.0,-42.91,,-36.23,,-39.96,-51.82,-38.17,-39.95,-34.69,-39.95
1.5,-40.98,,-37.26,,-37.71,-45.79,-36.02,-37.69,-34.46,-37.69
2.0,-39.51,,-33.69,,-36.0,-42.27,-34.38,-35.98,-31.67,-35.98
2.5,-34.19,,-35.98,,-34.53,-40.33,-31.33,-34.5,-32.17,-34.5
3.0,-34.52,,-33.18,,-33.27,-38.75,-30.82,-33.24,-30.2,-33.24
3.5,-34.39,,-34.75,,-32.64,-37.41,-30.4,-32.61,-30.54,-32.61
4.0,-32.69,,-32.87,,-31.96,-36.25,-29.28,-31.92,-29.36,-31.92
4.5,-33.84,,-33.48,,-31.37,-35.23,-29.4,-31.33,-29.26,-31.33
5.0,-32.43,-44.2,-32.56,-42.84,-30.87,-34.31,-28.54,-30.63,-28.6,-30.56
5.5,-30.23,-44.72,-31.47,-44.31,-30.29,-33.81,-27.23,-30.09,-27.81,-30.08
6.0,-29.23,-43.73,-31.39,-43.5,-29.83,-33.33,-26.49,-29.61,-27.5,-29.61
6.5,-29.37,-41.27,-28.91,-41.19,-29.43,-32.88,-26.37,-29.11,-26.13,-29.11
7.0,-27.61,-39.7,-27.75,-40.64,-28.94,-32.45,-25.2,-28.55,-25.28,-28.62
7.5,-22.83,-39.87,-22.35,-38.81,-28.46,-32.04,-21.77,-28.12,-21.39,-28.04
8.0,-28.01,-41.04,-24.5,-39.63,-28.13,-31.64,-25.04,-27.87,-22.92,-27.79
8.5,-30.95,-42.13,-21.51,-38.94,-27.89,-31.27,-26.12,-27.69,-20.6,-27.52
9.0,-26.42,-41.84,-27.12,-41.59,-27.63,-30.91,-23.95,-27.42,-24.34,-27.41
9.5,-28.53,-38.25,-29.55,-39.43,-27.4,-30.56,-24.89,-27.01,-25.3,-27.09
10.0,-28.99,-40.17,-29.33,-42.09,-27.18,-30.23,-24.95,-26.92,-25.08,-27.0
10.5,-26.77,-38.72,-27.04,-42.53,-26.99,-30.1,-23.85,-26.66,-23.98,-26.82
11.0,-27.47,-35.78,-28.26,-40.18,-26.77,-29.96,-24.07,-26.21,-24.41,-26.53
11.5,-28.38,-37.94,-27.59,-42.47,-26.59,-29.83,-24.36,-26.24,-24.03,-26.43
12.0,-26.49,-36.94,-27.08,-41.74,-26.44,-29.71,-23.43,-26.03,-23.71,-26.27
12.5,-25.81,-34.1,-27.35,-38.95,-26.25,-29.58,-22.99,-25.55,-23.73,-25.98
13.0,-24.76,-36.24,-25.96,-40.48,-26.07,-29.45,-22.34,-25.63,-22.98,-25.87
13.5,-27.53,-35.18,-27.29,-38.45,-25.91,-29.33,-23.61,-25.38,-23.51,-25.63
14.0,-23.94,-32.32,-25.11,-35.42,-25.68,-29.21,-21.7,-24.79,-22.36,-25.2
