speed_mps,power_lufs,power_steady_lufs,brake_lufs,brake_steady_lufs,mechanical_lufs,cruising_lufs,heard_power_sweep_lufs,heard_power_steady_lufs,heard_brake_sweep_lufs,heard_brake_steady_lufs
0.5000,-40.9525,,-36.7275,,-38.9990,,-36.8518,-38.9990,-34.6973,-38.9990
1.0000,-40.0982,,-36.3679,,-38.1489,-43.3111,-35.9859,-38.1178,-34.1398,-38.1178
1.5000,-39.2420,,-35.8984,,-37.2989,-42.4600,-35.1249,-37.2680,-33.5209,-37.2680
2.0000,-38.3842,,-35.3696,,-36.4488,-41.6086,-34.2813,-36.4169,-32.8476,-36.4169
2.5000,-37.5253,,-34.8414,,-35.5988,-40.7568,-33.4288,-35.5647,-32.1742,-35.5647
3.0000,-36.6656,,-34.3476,,-34.7487,-39.9048,-32.5800,-34.7314,-31.5320,-34.7314
3.5000,-35.8055,,-33.8640,,-33.8987,-39.0527,-31.7196,-33.8735,-30.8439,-33.8735
4.0000,-34.9453,,-33.0140,,-33.0486,-38.2006,-30.8593,-33.0151,-29.9975,-33.0151
4.5000,-34.0856,,-32.1640,,-32.1986,-37.3486,-30.0078,-32.1699,-29.1575,-32.1699
5.0000,-33.2266,-33.2266,-31.3140,-31.3140,-31.3486,-36.4968,-29.1556,-29.1511,-28.2877,-28.2880
5.5000,-32.3687,-32.3687,-30.4640,-30.4640,-30.4986,-35.6452,-28.3047,-28.3085,-27.4526,-27.4496
6.0000,-31.5121,-31.5121,-29.6140,-29.6140,-29.8929,-34.7941,-27.6066,-27.6058,-26.7264,-26.7094
6.5000,-30.6570,-30.6570,-28.7640,-28.7640,-29.4306,-33.9433,-26.9863,-26.9735,-26.0788,-26.0745
7.0000,-29.8035,-29.8035,-27.9140,-27.9140,-28.9991,-33.0929,-26.3530,-26.3673,-25.4021,-25.3957
7.5000,-28.9518,-28.9518,-27.0640,-27.0640,-28.6046,-32.2429,-25.7345,-25.7395,-24.7235,-24.7245
8.0000,-28.1018,-28.1018,-26.2140,-26.2140,-28.2534,-31.6816,-25.1502,-25.1565,-24.0926,-24.0954
8.5000,-27.8068,-27.8068,-25.5476,-25.5476,-27.9459,-31.3098,-24.8616,-24.8704,-23.5503,-23.5434
9.0000,-27.9939,-27.9939,-26.2758,-26.2758,-27.6754,-30.9658,-24.7881,-24.7771,-23.8626,-23.8552
9.5000,-28.0277,-28.0277,-27.1047,-27.1047,-27.4323,-30.6580,-24.6784,-24.6951,-24.2300,-24.2096
10.0000,-27.9218,-27.9218,-27.6678,-27.6678,-27.2086,-30.3945,-24.5404,-24.5439,-24.3877,-24.3911
10.5000,-27.7233,-27.7233,-27.8530,-27.8530,-26.9992,-30.1771,-24.3161,-24.3400,-24.3635,-24.3617
11.0000,-27.4532,-27.4532,-27.7596,-27.7596,-26.8015,-29.9990,-24.1245,-24.1043,-24.2434,-24.2424
11.5000,-27.1077,-27.1077,-27.5319,-27.5319,-26.6135,-29.8479,-23.8052,-23.8318,-24.0074,-23.9897
12.0000,-26.6998,-26.6998,-27.2601,-27.2601,-26.4345,-29.7124,-23.5650,-23.5332,-23.7955,-23.7709
12.5000,-26.2797,-26.2797,-26.9839,-26.9839,-26.2672,-29.5853,-23.2272,-23.2563,-23.5991,-23.6018
13.0000,-25.8956,-25.8956,-26.7237,-26.7237,-26.1219,-29.4649,-23.0127,-23.0152,-23.3560,-23.3769
13.5000,-25.5479,-25.5479,-26.4874,-26.4874,-26.0173,-29.3526,-22.7682,-22.7368,-23.2175,-23.2642
14.0000,-25.2096,-25.2096,-26.2648,-26.2648,-25.9733,-29.2509,-22.6225,-22.5905,-23.0889,-23.0871
14.5000,-24.8797,-24.8797,-26.0301,-26.0301,-25.9988,-29.1606,-22.3745,-22.3378,-22.9988,-22.9838
15.0000,-24.5959,-24.5959,-25.7595,-25.7595,-26.0839,-29.0803,-22.2123,-22.2424,-22.8974,-22.8577
15.5000,-24.3967,-24.3967,-25.4522,-25.4522,-26.2051,-29.0071,-22.1073,-22.1387,-22.7858,-22.7965
16.0000,-24.2810,-24.2810,-25.1335,-25.1335,-26.3386,-28.9379,-22.1785,-22.1808,-22.6560,-22.6753
16.5000,-24.2084,-24.2084,-24.8338,-24.8338,-26.4687,-28.8707,-22.1873,-22.1752,-22.5378,-22.5603
17.0000,-24.1374,-24.1374,-24.5638,-24.5638,-26.5885,-28.8044,-22.1663,-22.1618,-22.4077,-22.4089
17.5000,-24.0478,-24.0478,-24.3097,-24.3097,-26.6960,-28.7390,-22.1381,-22.1725,-22.3554,-22.3086
18.0000,-23.9340,-23.9340,-24.0517,-24.0517,-26.7914,-28.6744,-22.1404,-22.1485,-22.1492,-22.1693
18.5000,-23.7988,-23.7988,-23.7857,-23.7857,-26.8739,-28.6104,-22.0203,-22.0256,-22.1078,-22.0635
19.0000,-23.6478,-23.6478,-23.5280,-23.5280,-26.9410,-28.5468,-21.9452,-21.9664,-21.8802,-21.8991
19.5000,-23.4810,-23.4810,-23.3015,-23.3015,-26.9894,-28.4834,-21.8849,-21.8648,-21.6697,-21.7192
20.0000,-23.2991,-23.2991,-23.1185,-23.1185,-27.0174,-28.4201,-21.7389,-21.7453,-21.7154,-21.6454
20.5000,-23.1122,-23.1122,-22.9769,-22.9769,-27.0271,-28.3571,-21.6150,-21.5914,-21.5196,-21.5043
21.0000,-22.9221,-22.9221,-22.8715,-22.8715,-27.0243,-28.2944,-21.4446,-21.4559,-21.4293,-21.4597
21.5000,-22.7148,-22.7148,-22.8074,-22.8074,-27.0170,-28.2324,-21.3857,-21.3804,-21.3941,-21.4190
22.0000,-22.4886,-22.4886,-22.7988,-22.7988,-27.0107,-28.1711,-21.1417,-21.1320,-21.4107,-21.3735
22.5000,-22.2757,-22.2757,-22.8508,-22.8508,-27.0029,-28.1104,-21.0717,-20.9575,-21.3798,-21.4359
23.0000,-22.1260,-22.1260,-22.9403,-22.9403,-26.9824,-28.0501,-20.9100,-20.9027,-21.4763,-21.4682
23.5000,-22.0758,-22.0758,-23.0129,-23.0129,-26.9355,-27.9901,-20.8521,-20.8621,-21.4758,-21.5157
24.0000,-22.1187,-22.1187,-23.0034,-23.0034,-26.8533,-27.9301,-20.8357,-20.8494,-21.4965,-21.4751
24.5000,-22.1991,-22.1991,-22.8694,-22.8694,-26.7334,-27.8704,-20.8522,-20.8835,-21.3868,-21.3798
25.0000,-22.2446,-22.2446,-22.6126,-22.6126,-26.5769,-27.8111,-20.9436,-20.8462,-21.0734,-21.0959
25.5000,-22.2094,-22.2094,-22.2708,-22.2708,-26.3850,-27.7527,-20.7678,-20.7563,-20.8615,-20.8418
26.0000,-22.0855,-22.0855,-21.8866,-21.8866,-26.1599,-27.6957,-20.6184,-20.6548,-20.4522,-20.4787
26.5000,-21.8997,-21.8997,-21.4814,-21.4814,-25.9083,-27.6418,-20.4396,-20.3943,-20.0776,-20.1325
27.0000,-21.7089,-21.7089,-21.0544,-21.0544,-25.6416,-27.5941,-20.2348,-20.1751,-19.7772,-19.7118
27.5000,-21.5772,-21.5772,-20.6065,-20.6065,-25.3741,-27.5574,-20.1081,-20.0573,-19.3425,-19.3464
28.0000,-21.5290,-21.5290,-20.1709,-20.1709,-25.1182,-27.5363,-20.0042,-19.9819,-18.9328,-18.9330
28.5000,-21.5104,-21.5104,-19.8104,-19.8104,-24.8814,-27.5331,-19.7766,-19.8204,-18.5717,-18.5788
29.0000,-21.4106,-21.4106,-19.5756,-19.5756,-24.6646,-27.5457,-19.6483,-19.6597,-18.4447,-18.4035
29.5000,-21.1557,-21.1557,-19.4684,-19.4684,-24.4639,-27.5695,-19.4976,-19.5129,-18.3172,-18.2863
30.0000,-20.7871,-20.7871,-19.4503,-19.4503,-24.2740,-27.5996,-19.1535,-19.1641,-18.2029,-18.2185
30.5000,-20.4278,-20.4278,-19.4774,-19.4774,-24.0904,-27.6324,-18.8576,-18.8478,-18.2446,-18.2227
31.0000,-20.1768,-20.1768,-19.5214,-19.5214,-23.9106,-27.6662,-18.6875,-18.5829,-18.1517,-18.1619
31.5000,-20.0514,-20.0514,-19.5702,-19.5702,-23.7335,-27.7000,-18.5022,-18.4579,-18.1006,-18.0908
32.0000,-20.0127,-20.0127,-19.6200,-19.6200,-23.5587,-27.7339,-18.3897,-18.4150,-18.1168,-18.1192
32.5000,-20.0161,-20.0161,-19.6700,-19.6700,-23.3857,-27.7679,-18.3425,-18.3110,-18.0924,-18.1265
33.0000,-20.0342,-20.0342,-19.7201,-19.7201,-23.2146,-27.8021,-18.3574,-18.2765,-18.0721,-18.0716
33.5000,-20.0563,-20.0563,-19.7704,-19.7704,-23.0461,-27.8361,-18.2568,-18.2714,-18.0441,-18.0543
34.0000,-20.0791,-20.0791,-19.8210,-19.8210,-22.8810,-27.8700,-18.1941,-18.2382,-18.0958,-18.0879
34.5000,-20.1023,-20.1023,-19.8723,-19.8723,-22.7192,-27.9040,-18.2313,-18.1622,-18.0053,-18.0188
35.0000,-20.1263,-20.1263,-19.9241,-19.9241,-22.5603,-27.9382,-18.1683,-18.1620,-18.0361,-18.0103
35.5000,-20.1511,-20.1511,-19.9764,-19.9764,-22.4036,-27.9728,-18.1080,-18.1224,-17.9941,-17.9886
36.0000,-20.1765,-20.1765,-20.0289,-20.0289,-22.2487,-28.0077,-18.0455,-18.0267,-17.9642,-17.9813
36.5000,-20.2022,-20.2022,-20.0816,-20.0816,-22.0954,-28.0428,-18.1122,-18.0570,-17.9882,-17.9732
37.0000,-20.2280,-20.2280,-20.1347,-20.1347,-21.9440,-28.0782,-18.0073,-17.9670,-17.9499,-17.9355
37.5000,-20.2534,-20.2534,-20.1883,-20.1883,-21.7958,-28.1139,-17.9069,-17.9500,-17.9072,-17.9104
38.0000,-20.2768,-20.2768,-20.2420,-20.2420,-21.6524,-28.1494,-17.8931,-17.8808,-17.8858,-17.8492
38.5000,-20.2951,-20.2951,-20.2945,-20.2945,-21.5152,-28.1840,-17.8651,-17.8897,-17.8240,-17.8441
39.0000,-20.3043,-20.3043,-20.3436,-20.3436,-21.3884,-28.2159,-17.7926,-17.7841,-17.8258,-17.8301
